UID          PID    PPID  C STIME TTY          TIME CMD
root         343       1  0 23:10 ?        00:00:00 /lib/systemd/systemd-journald
root         369       1  0 23:10 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         373       1  0 23:10 ?        00:00:00 /lib/systemd/systemd-udevd
root         391       2  0 23:10 ?        00:00:00 [psimon]
root         418       2  0 23:10 ?        00:00:00 [psimon]
root         451       2  0 23:10 ?        00:00:00 [kworker/1:2H-kblockd]
root         488       1  0 23:10 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
root         497       1  0 23:10 ?        00:00:02 /usr/bin/vmtoolsd
message+     507       1  0 23:10 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         508       2  0 23:10 ?        00:00:00 [rpciod]
root         509       2  0 23:10 ?        00:00:00 [xprtiod]
root         533       2  0 23:10 ?        00:00:00 [irq/56-vmw_vmci]
root         534       2  0 23:10 ?        00:00:00 [irq/57-vmw_vmci]
polkitd      535       1  0 23:10 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         564       1  0 23:10 ?        00:00:00 /lib/systemd/systemd-logind
root         597       1  0 23:10 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         608       1  0 23:10 ?        00:00:00 /usr/sbin/cron -f
root         619       2  0 23:10 ?        00:00:00 [psimon]
root         765       2  0 23:10 ?        00:00:00 [kworker/u65:1-hci0]
root         766       1  0 23:10 ?        00:00:00 /usr/sbin/ModemManager
root         781       1  0 23:10 ?        00:00:00 /usr/sbin/lightdm
root         881       1  0 23:10 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         882     781  0 23:10 tty7     00:00:20 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        1034       2  0 23:10 ?        00:00:00 [psimon]
rtkit       1064       1  0 23:10 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1142     781  0 23:10 ?        00:00:00 lightdm --session-child 16 25
kali        1149       1  0 23:10 ?        00:00:00 /lib/systemd/systemd --user
kali        1150    1149  0 23:10 ?        00:00:00 (sd-pam)
root        1164       2  0 23:10 ?        00:00:00 [psimon]
kali        1167    1149  0 23:10 ?        00:00:00 /usr/bin/pipewire
kali        1168    1149  0 23:10 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
kali        1169    1149  0 23:10 ?        00:00:00 /usr/bin/wireplumber
kali        1170    1149  0 23:10 ?        00:00:00 /usr/bin/pipewire-pulse
kali        1171    1149  0 23:10 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kali        1173    1149  0 23:10 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
kali        1197    1142  0 23:10 ?        00:00:00 xfce4-session
kali        1241    1197  0 23:10 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
kali        1252    1149  0 23:10 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
kali        1259    1252  0 23:10 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
kali        1270    1149  0 23:10 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kali        1283    1149  0 23:10 ?        00:00:00 /usr/bin/gpg-agent --supervised
kali        1285    1197  0 23:10 ?        00:00:07 xfwm4
kali        1289    1149  0 23:10 ?        00:00:00 /usr/libexec/gvfsd
kali        1295    1149  0 23:10 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kali        1311    1197  0 23:10 ?        00:00:00 xfsettingsd
root        1315       1  0 23:10 ?        00:00:00 /usr/libexec/upowerd
kali        1321    1197  0 23:10 ?        00:00:05 xfce4-panel
kali        1326    1197  0 23:10 ?        00:00:00 Thunar --daemon
kali        1337    1197  0 23:10 ?        00:00:01 xfdesktop
kali        1341    1321  0 23:10 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
kali        1345    1197  0 23:10 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
kali        1346    1197  0 23:10 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kali        1347    1197  0 23:10 ?        00:00:00 xfce4-power-manager
kali        1348    1197  0 23:10 ?        00:00:00 xiccd
kali        1354       1  0 23:10 ?        00:00:02 /usr/bin/vmtoolsd -n vmusr --blockFd 3
kali        1360    1197  0 23:10 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kali        1372       1  0 23:10 ?        00:00:00 xcape -e Super_L Control_L Escape
kali        1381    1197  0 23:10 ?        00:00:00 nm-applet
colord      1382       1  0 23:10 ?        00:00:00 /usr/libexec/colord
kali        1391    1197  0 23:10 ?        00:00:00 light-locker
kali        1395    1197  0 23:10 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kali        1396    1321  0 23:10 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
kali        1402    1321  0 23:10 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
kali        1407    1321  0 23:10 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
kali        1414    1321  0 23:10 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kali        1426    1321  0 23:10 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kali        1430    1321  0 23:10 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kali        1439    1321  0 23:10 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
kali        1456    1149  0 23:10 ?        00:00:00 /usr/libexec/dconf-service
kali        1618    1149  0 23:10 ?        00:00:00 /usr/libexec/bluetooth/obexd
kali        1624    1149  0 23:10 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1628       1  0 23:10 ?        00:00:00 /usr/libexec/udisks2/udisksd
kali        1645    1149  0 23:10 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1650    1149  0 23:10 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1655    1149  0 23:10 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kali        1660    1149  0 23:10 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kali        1675    1289  0 23:10 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
kali        1681    1149  0 23:10 ?        00:00:00 /usr/libexec/gvfsd-metadata
kali        2014    1149  0 23:10 ?        00:00:00 /usr/libexec/xdg-desktop-portal
kali        2019    1149  0 23:10 ?        00:00:00 /usr/libexec/xdg-document-portal
kali        2024    1149  0 23:10 ?        00:00:00 /usr/libexec/xdg-permission-store
root        2031    2019  0 23:10 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
kali        2035    1149  0 23:10 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        9633       2  0 23:25 ?        00:00:00 [kworker/3:1-events]
root       11419       2  0 23:28 ?        00:00:00 [kworker/u64:2-flush-8:0]
kali       15084    1149  0 23:36 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root       16610       2  0 23:39 ?        00:00:00 [kworker/3:0]
root       17201       2  0 23:40 ?        00:00:00 [kworker/0:0-events]
root       17651       2  0 23:41 ?        00:00:00 [kworker/1:2-ata_sff]
root       17924       2  0 23:41 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
kali       19926       1  0 23:45 ?        00:00:00 /usr/bin/qterminal
kali       19929   19926  0 23:45 pts/0    00:00:00 /usr/bin/zsh
root       20391       2  0 23:46 ?        00:00:00 [kworker/1:0-ata_sff]
root       20671       2  0 23:46 ?        00:00:00 [kworker/2:0-events]
kali       22673   19929 99 23:50 pts/0    00:00:00 ps -ef
